# Generated by scripts/generate_fixed_stage_stim.py
# seed 23063
# valid last a_re a_im b_re b_im
1 0 7591 9653 14602 7811
1 0 30435 -22614 -20090 15753
1 0 -26593 -22564 20594 23166
1 0 4126 8203 -20473 -31586
1 0 -30985 25406 -2470 -21421
1 0 -21670 -18640 17962 -10855
1 0 28460 16359 29083 -6298
1 0 -4540 15794 1871 -29338
1 0 32613 -500 19889 -1682
1 0 -30183 -13730 5159 -5071
1 0 -491 -21183 16380 6274
1 0 -5031 -29775 632 15920
1 0 19738 -32155 -6640 22057
1 0 5068 24301 -22799 -25704
1 0 -7287 28656 30431 -7527
1 0 1178 -10165 -27507 -20280
1 0 3197 4987 17331 4214
1 0 -7045 23368 -29442 -11177
1 0 6278 -10616 1929 -24342
1 0 26931 -18129 -1891 3101
1 0 21915 30495 -24661 -26762
1 0 -8738 32643 8257 -32721
1 0 -25480 -29193 6573 16360
1 0 29012 -28873 -21381 -19731
1 0 28112 3853 25266 13442
1 0 -23782 26108 29291 11287
1 0 1275 -18528 3059 21978
1 0 11526 -13823 -23656 -10822
1 0 -32131 -19192 -23177 -29465
0 0 -18859 31186 10771 -25060
1 0 -9003 -14831 -18843 25112
1 0 -30209 16338 30504 -32593
1 0 -24016 -20359 -4530 24920
1 0 938 -31040 18837 10878
1 0 -16829 -7214 -32518 -21309
1 0 139 -14439 -30259 20940
1 0 -21076 6991 -26566 -18113
1 0 16451 5732 26107 23048
1 0 -31969 12802 13041 -31167
1 0 -5812 -1244 20282 -15828
1 0 22230 23353 28978 30971
1 0 27231 5970 24219 3146
1 0 -31470 -16424 -22563 20015
1 0 24673 -23011 15691 -22699
1 0 -30028 -8113 -31107 4794
1 0 -17844 28658 -16378 -23535
1 0 -19095 16735 -21960 31908
1 0 -7301 11452 329 -5800
1 0 -10577 18757 -5488 -14974
1 0 -26469 25182 -2524 15436
1 0 -4613 27373 -16337 27690
1 0 4767 8068 5804 -2658
1 0 19375 -10008 -20695 -5014
1 0 -18707 -13324 -18358 23122
1 0 -421 -17174 12340 -21381
1 0 -21026 13058 26293 -11812
0 0 24332 -22497 -26469 -13675
1 0 -23144 -18561 -20320 -18794
1 0 -7578 -5883 -27362 4205
1 0 -10621 7519 17081 5924
1 0 25079 -24028 8783 16935
1 0 -30263 28118 -26263 1355
1 0 10026 23197 9286 -7117
1 0 -24027 1385 -3117 15977
1 0 -5603 16994 20285 -21600
1 0 32252 29817 -654 2567
1 0 -10330 -17664 21375 -18868
1 0 -13782 -28010 5627 -19193
1 0 27761 -20329 6596 26078
1 0 20298 -14910 -28391 20795
1 0 11928 14935 -28751 1904
0 0 10699 -18443 -4827 -1898
1 0 -5008 12115 -28332 28686
1 0 -28360 -3973 -10801 8279
1 0 18603 63 -22467 -12404
1 0 25374 14439 -23438 -15488
1 0 15734 -16644 -1096 -32141
1 0 -9761 -15094 30279 -20823
1 0 -7804 -5499 -23961 -9401
1 0 26117 -22897 -22432 -2463
1 0 23921 30931 688 -10030
1 0 -28914 10663 18218 11910
1 0 30470 5984 -9273 15042
1 0 -3657 18949 27174 19264
1 0 22031 -8072 -129 -30371
1 0 -18209 27994 6438 16113
1 0 31428 18689 32698 -28136
1 0 9550 -14487 -2458 -1985
1 0 -31937 -30109 -25809 -30683
1 0 7711 6932 -18531 -11916
1 0 -26526 -21144 -8434 29842
1 0 -14627 11816 -32744 23625
1 0 19200 -13103 22384 12781
1 0 26587 -3893 11484 -21153
1 0 21519 -11623 30596 -8918
1 0 1450 -27332 -24569 18627
1 0 2145 -30412 3919 19996
1 0 -7031 -31425 30917 -27106
1 0 -22792 24039 -24186 15803
1 0 -10761 -1803 30243 -6971
1 0 -24990 -15762 13409 8179
1 0 -12891 32139 25307 -4317
1 0 18393 18025 31662 4779
1 0 -4033 -3531 27658 12355
1 0 -16931 -29779 27074 -27547
1 0 30144 8899 -8907 -2175
0 0 -30419 -25908 32411 -9486
1 0 -18569 5878 12970 -17378
1 0 -9631 19832 -770 30712
1 0 -16337 -2844 399 31469
1 0 11342 31393 19356 3056
1 0 -16561 -30327 25575 -9960
1 0 -23357 -1183 -18950 13887
1 0 -7531 -27480 25119 -23273
1 0 -1104 -17813 -9258 19275
1 0 4348 -25822 4828 -18027
1 0 -15693 28329 6261 -4731
1 0 -16007 20869 9939 2762
1 0 16186 11119 -14180 23307
1 0 3370 25948 -24337 23661
0 0 25747 24198 20471 10852
1 0 17530 -18689 -17213 28286
1 0 10509 -6729 -8826 -32185
1 1 17453 -11232 -3221 -6457
1 0 25333 16797 27777 -3645
1 1 -17824 9745 4435 -17943
1 0 -12019 -2383 -32702 -13241
1 0 7737 5635 14907 -8498
1 0 32043 -5918 20902 -1347
1 0 8486 -3334 11438 -2974
1 0 26489 23205 -32391 -24572
1 0 8735 19377 -21937 -3196
1 0 21935 1025 -10456 -8214
1 0 32538 -15294 -18750 3198
1 0 13266 -19551 7266 -25335
1 0 -7117 -16665 17425 -28913
1 0 -5800 6851 -24835 -8385
1 0 -21221 -14337 20083 -13233
1 0 27776 -12126 137 -30765
1 0 -22610 -30269 -1117 5400
1 0 -8301 31430 -26421 -24052
1 0 -18147 -15355 -25853 6302
1 0 22287 -27395 9267 26574
1 0 32360 28246 30137 -28737
1 0 2819 12932 32700 -3843
1 0 22518 -9401 -7074 13769
1 0 4959 -22462 -16053 10820
1 0 -27258 -7686 12707 -27423
1 0 -19839 2374 -13521 -30937
1 0 20956 -1339 13303 -32282
1 0 -32473 1881 10733 -6862
1 0 -31931 21641 29724 24265
1 0 22532 9724 -1049 -30158
1 0 27015 -316 -31359 27745
1 0 -18446 19359 540 -1993
1 0 12778 30392 -13768 -14454
0 0 29985 22293 167 -25970
1 0 -10831 12692 8504 22841
1 0 18869 20640 -6310 9948
1 0 -1518 -16171 19996 8552
1 0 7077 -16296 -24842 -4335
1 0 32486 -23675 -21389 13516
1 0 31071 -5657 -6432 25457
1 0 -4682 -4999 -927 -12012
1 0 26265 16425 -20428 28186
1 0 11485 -31302 -1758 32693
1 0 27163 -19052 82 21200
1 0 27835 -24949 21099 -25422
1 0 25850 -8004 -27199 -13250
1 0 -25003 23929 -11104 -23856
1 0 4510 -23662 620 11062
0 0 24042 24795 17038 -30658
1 0 -27745 -8459 -32668 -7624
1 0 -17063 4342 -8922 21918
1 0 25968 -4815 -7917 26915
1 0 -23593 17223 21512 -8373
1 0 -2250 -20404 -6078 20830
1 0 -20592 10123 -6924 -20100
1 0 80 -23965 -14544 -15185
1 0 6195 10612 -9519 25114
1 0 11872 -17463 -24571 28548
1 0 9388 -23633 -24301 29722
1 0 -28879 22909 13902 30300
0 0 1855 -18839 26309 7456
1 0 27348 -9240 17536 9630
1 0 31989 -30131 8309 -4023
1 0 3167 6066 -25460 -18915
1 0 30638 -9776 -9305 -2377
1 0 -26421 6719 5142 16790
1 0 -20956 76 2200 -22057
1 0 -1499 16177 -2958 162
1 0 12211 22021 -4944 -11880
1 0 -31335 -12215 -835 25277
1 0 -3185 -7801 3210 8157
1 0 -14398 -26019 28905 22311
1 0 25256 30015 32627 16458
1 0 -31987 11990 13401 -8958
1 0 -31756 21111 -12850 4361
1 0 -4692 10603 -12932 6152
1 0 -18887 31936 31484 -438
1 0 29359 -28588 9038 -25714
1 0 28721 20394 -16195 10152
1 0 2853 22750 892 32565
1 0 31650 25852 14678 11771
1 0 21627 8926 16961 12603
1 0 8177 25629 -31185 3294
1 0 -10871 -30324 -10003 6228
1 0 -10591 16058 18440 -8362
1 0 25086 31757 -26693 -15662
1 0 30129 6102 -32736 11235
1 0 13676 4013 19544 17410
1 0 -30743 9895 -17720 4040
1 0 -7044 18548 -25226 -27397
1 0 -4479 -28421 -21147 13359
1 0 -20345 12495 -17701 -8421
1 0 -13287 1709 30705 -1623
1 0 15245 -30680 -467 20966
1 0 -25440 -26919 -14352 18104
1 0 -9009 -18637 12414 -7052
1 1 11907 -29529 12304 28697
